,index,Result,FNL,FSP,FSW,SSP,SSW,ACE,DBF,WNR,UFE,BPC,BPW,NPA,NPW,TPW,ST1,ST2,ST3,ST4,ST5
53,53,0,0.0,63,32,37,12,1.0,3.0,1.0,3.0,3.0,7.0,,,76.0,3.0,2.0,1.0,,
54,54,0,0.0,55,44,45,22,8.0,6.0,36.0,59.0,1.0,6.0,5.0,7.0,103.0,6.0,6.0,3.0,,
55,55,1,3.0,64,56,36,17,21.0,7.0,48.0,29.0,7.0,20.0,21.0,30.0,127.0,7.0,6.0,4.0,6.0,
56,56,0,2.0,61,69,39,29,14.0,9.0,46.0,63.0,3.0,9.0,16.0,30.0,147.0,3.0,7.0,2.0,6.0,2.0
57,57,1,3.0,61,53,39,30,7.0,7.0,28.0,57.0,5.0,10.0,8.0,17.0,141.0,6.0,7.0,4.0,6.0,
58,58,0,1.0,67,56,33,18,11.0,6.0,38.0,56.0,1.0,4.0,13.0,15.0,106.0,7.0,6.0,2.0,0.0,
59,59,1,3.0,59,72,41,40,17.0,5.0,67.0,59.0,7.0,18.0,8.0,11.0,175.0,7.0,6.0,5.0,5.0,7.0
60,60,0,0.0,62,42,38,17,2.0,1.0,19.0,23.0,0.0,0.0,13.0,20.0,76.0,4.0,4.0,4.0,,
61,61,0,1.0,49,51,51,36,6.0,8.0,6.0,8.0,2.0,12.0,,,138.0,6.0,7.0,2.0,4.0,
62,62,1,3.0,54,55,46,36,8.0,9.0,54.0,45.0,3.0,5.0,14.0,23.0,135.0,7.0,0.0,7.0,6.0,
63,63,1,1.0,62,14,38,6,5.0,1.0,13.0,5.0,1.0,1.0,5.0,5.0,30.0,6.0,,,,
64,64,0,0.0,52,28,48,17,3.0,7.0,14.0,39.0,0.0,0.0,7.0,11.0,59.0,0.0,4.0,4.0,,
65,65,0,1.0,53,45,47,26,5.0,5.0,31.0,44.0,3.0,10.0,24.0,38.0,106.0,6.0,6.0,1.0,4.0,
66,66,1,3.0,72,45,28,11,19.0,4.0,30.0,21.0,5.0,9.0,6.0,11.0,88.0,6.0,6.0,6.0,,
67,67,1,3.0,58,62,42,30,9.0,12.0,51.0,60.0,5.0,15.0,27.0,33.0,144.0,7.0,6.0,3.0,6.0,
68,68,0,0.0,77,48,23,11,6.0,1.0,39.0,43.0,4.0,5.0,9.0,12.0,97.0,6.0,4.0,4.0,,
69,69,1,3.0,58,61,42,38,17.0,3.0,66.0,25.0,4.0,13.0,13.0,17.0,159.0,6.0,6.0,6.0,7.0,
70,70,0,1.0,68,64,32,19,8.0,3.0,30.0,43.0,3.0,11.0,26.0,35.0,121.0,6.0,6.0,6.0,1.0,
71,71,1,3.0,56,57,44,31,9.0,4.0,61.0,46.0,6.0,17.0,23.0,29.0,142.0,6.0,6.0,6.0,6.0,
72,72,0,1.0,55,44,45,25,5.0,1.0,32.0,73.0,5.0,10.0,18.0,31.0,113.0,6.0,7.0,0.0,3.0,
73,73,1,3.0,60,74,40,30,22.0,10.0,76.0,73.0,5.0,14.0,24.0,38.0,164.0,7.0,7.0,6.0,7.0,
74,74,0,1.0,79,71,21,20,11.0,1.0,57.0,28.0,3.0,11.0,17.0,26.0,149.0,6.0,6.0,6.0,3.0,
75,75,0,2.0,55,55,45,36,14.0,5.0,48.0,46.0,3.0,7.0,14.0,21.0,126.0,4.0,6.0,3.0,6.0,3.0
76,76,1,3.0,57,49,43,28,11.0,2.0,11.0,2.0,7.0,17.0,,,130.0,7.0,6.0,4.0,6.0,
77,77,1,3.0,65,43,35,18,15.0,5.0,30.0,22.0,3.0,5.0,12.0,15.0,87.0,6.0,6.0,6.0,,
78,78,0,2.0,51,36,49,26,7.0,6.0,33.0,27.0,3.0,5.0,12.0,18.0,95.0,4.0,4.0,6.0,4.0,
79,79,1,3.0,64,37,36,15,5.0,4.0,29.0,13.0,5.0,8.0,21.0,25.0,93.0,6.0,6.0,6.0,,
80,80,0,0.0,62,32,38,18,6.0,3.0,14.0,21.0,1.0,2.0,4.0,13.0,72.0,2.0,1.0,6.0,,
81,81,0,2.0,60,67,40,34,12.0,18.0,56.0,71.0,6.0,10.0,15.0,26.0,156.0,6.0,6.0,6.0,4.0,4.0
82,82,0,2.0,50,50,50,32,15.0,7.0,15.0,7.0,7.0,15.0,,,156.0,6.0,6.0,7.0,1.0,2.0
83,83,1,3.0,64,51,36,18,14.0,6.0,47.0,28.0,3.0,9.0,16.0,24.0,110.0,7.0,6.0,6.0,,
84,84,0,1.0,63,66,37,24,12.0,8.0,12.0,8.0,3.0,4.0,,,123.0,4.0,3.0,7.0,6.0,
85,85,1,3.0,58,56,42,30,13.0,8.0,43.0,28.0,6.0,17.0,13.0,15.0,143.0,7.0,6.0,6.0,6.0,
86,86,0,0.0,68,47,32,17,6.0,3.0,29.0,25.0,2.0,4.0,37.0,61.0,93.0,4.0,6.0,4.0,,
87,87,1,3.0,59,35,41,17,5.0,5.0,25.0,31.0,8.0,17.0,7.0,7.0,106.0,6.0,6.0,7.0,,
88,88,1,3.0,69,88,31,23,12.0,6.0,72.0,59.0,5.0,8.0,20.0,28.0,162.0,4.0,6.0,5.0,6.0,7.0
89,89,1,3.0,50,68,50,47,32.0,5.0,78.0,45.0,7.0,24.0,28.0,32.0,188.0,6.0,6.0,6.0,6.0,6.0
90,90,0,0.0,70,47,30,19,2.0,2.0,23.0,46.0,2.0,4.0,13.0,18.0,95.0,3.0,3.0,6.0,,
91,91,1,3.0,64,57,36,23,27.0,2.0,63.0,36.0,2.0,6.0,17.0,25.0,116.0,7.0,6.0,6.0,,
92,92,0,0.0,70,37,30,8,7.0,3.0,17.0,49.0,1.0,5.0,4.0,7.0,68.0,1.0,1.0,6.0,,
93,93,0,2.0,57,57,43,33,12.0,10.0,47.0,65.0,6.0,18.0,9.0,15.0,165.0,4.0,6.0,3.0,6.0,5.0
94,94,0,0.0,58,48,42,23,5.0,9.0,34.0,37.0,1.0,1.0,16.0,29.0,92.0,6.0,5.0,2.0,,
95,95,1,3.0,74,45,26,11,7.0,1.0,39.0,19.0,5.0,10.0,11.0,14.0,91.0,6.0,6.0,6.0,,
96,96,0,0.0,65,41,35,10,5.0,1.0,14.0,26.0,1.0,1.0,3.0,9.0,71.0,3.0,3.0,5.0,,
97,97,1,3.0,60,41,40,26,9.0,3.0,43.0,26.0,4.0,10.0,7.0,11.0,108.0,7.0,6.0,6.0,,
98,98,1,3.0,65,70,35,21,16.0,3.0,51.0,38.0,3.0,7.0,18.0,25.0,140.0,2.0,7.0,6.0,7.0,
99,99,0,0.0,58,44,42,17,8.0,8.0,30.0,51.0,1.0,3.0,17.0,27.0,87.0,2.0,6.0,2.0,,
100,100,1,3.0,68,42,32,15,17.0,0.0,38.0,7.0,5.0,11.0,12.0,13.0,98.0,7.0,6.0,6.0,,
101,101,1,3.0,67,77,33,26,27.0,6.0,82.0,69.0,3.0,12.0,22.0,30.0,164.0,3.0,4.0,6.0,7.0,7.0
102,102,1,3.0,57,37,43,19,13.0,1.0,32.0,26.0,5.0,9.0,13.0,18.0,93.0,6.0,6.0,6.0,,
103,103,0,0.0,69,38,31,10,3.0,5.0,27.0,33.0,0.0,5.0,7.0,19.0,66.0,2.0,2.0,3.0,,
104,104,1,3.0,66,49,34,20,17.0,0.0,40.0,29.0,3.0,6.0,20.0,27.0,94.0,7.0,6.0,6.0,,
105,105,1,3.0,72,54,28,11,7.0,5.0,35.0,23.0,4.0,10.0,14.0,17.0,105.0,6.0,7.0,6.0,,
106,106,1,3.0,64,50,36,16,6.0,2.0,29.0,30.0,4.0,11.0,11.0,18.0,106.0,7.0,6.0,6.0,,
107,107,0,0.0,58,30,42,10,13.0,3.0,31.0,59.0,2.0,7.0,11.0,22.0,65.0,2.0,1.0,4.0,,
108,108,0,1.0,59,55,41,30,21.0,5.0,50.0,39.0,1.0,3.0,22.0,53.0,107.0,3.0,6.0,4.0,6.0,
109,109,0,0.0,64,23,36,7,1.0,5.0,17.0,32.0,1.0,4.0,15.0,30.0,56.0,5.0,1.0,0.0,,
110,110,1,3.0,67,38,33,20,2.0,0.0,21.0,18.0,6.0,12.0,9.0,13.0,107.0,6.0,6.0,6.0,,
111,111,0,0.0,59,32,41,13,3.0,7.0,20.0,44.0,0.0,0.0,11.0,16.0,55.0,3.0,0.0,2.0,,
112,112,1,3.0,56,54,44,24,14.0,3.0,57.0,37.0,2.0,5.0,17.0,25.0,118.0,6.0,7.0,7.0,,
113,113,0,1.0,61,52,39,27,4.0,3.0,33.0,49.0,3.0,11.0,29.0,56.0,118.0,7.0,5.0,2.0,1.0,
114,114,1,3.0,52,33,48,21,4.0,3.0,38.0,17.0,5.0,17.0,15.0,18.0,92.0,6.0,6.0,6.0,,
115,115,0,0.0,52,32,48,23,8.0,1.0,29.0,28.0,0.0,1.0,11.0,25.0,72.0,3.0,5.0,4.0,,
116,116,1,3.0,62,59,38,25,8.0,3.0,48.0,47.0,7.0,14.0,16.0,24.0,137.0,6.0,6.0,6.0,6.0,
117,117,1,3.0,60,57,40,21,11.0,3.0,38.0,34.0,4.0,5.0,23.0,35.0,114.0,6.0,3.0,6.0,6.0,
118,118,1,3.0,71,67,29,14,12.0,1.0,36.0,28.0,5.0,8.0,10.0,19.0,129.0,7.0,7.0,7.0,,
119,119,1,3.0,58,71,42,36,17.0,5.0,51.0,60.0,5.0,10.0,20.0,30.0,153.0,2.0,6.0,6.0,3.0,9.0
120,120,1,3.0,52,52,48,27,10.0,4.0,43.0,62.0,5.0,13.0,18.0,28.0,128.0,6.0,6.0,2.0,6.0,
121,121,0,1.0,61,60,39,28,9.0,1.0,41.0,46.0,1.0,2.0,17.0,27.0,121.0,3.0,4.0,7.0,3.0,
122,122,1,3.0,73,66,27,22,3.0,7.0,42.0,47.0,4.0,11.0,32.0,36.0,147.0,3.0,7.0,7.0,6.0,
123,123,0,1.0,62,71,38,30,21.0,7.0,60.0,49.0,0.0,1.0,23.0,31.0,142.0,3.0,7.0,6.0,6.0,
124,124,1,3.0,65,41,35,22,3.0,1.0,28.0,25.0,4.0,14.0,3.0,10.0,105.0,7.0,6.0,6.0,,
125,125,0,1.0,78,50,22,10,1.0,3.0,19.0,32.0,2.0,6.0,5.0,8.0,88.0,3.0,2.0,6.0,3.0,
126,0,1,2.0,59,20,41,8,6.0,2.0,31.0,17.0,5.0,10.0,10.0,11.0,58.0,6.0,6.0,,,
127,1,1,2.0,65,33,35,10,7.0,4.0,7.0,4.0,5.0,10.0,,,78.0,2.0,6.0,6.0,,
128,2,0,0.0,63,16,37,4,3.0,6.0,3.0,6.0,0.0,2.0,,,37.0,0.0,1.0,,,
129,3,0,1.0,61,41,39,19,8.0,3.0,27.0,45.0,4.0,7.0,10.0,13.0,88.0,5.0,6.0,3.0,,
130,4,1,2.0,65,28,35,11,6.0,1.0,19.0,18.0,7.0,10.0,7.0,10.0,74.0,6.0,6.0,,,
131,5,1,2.0,62,28,38,12,5.0,0.0,30.0,21.0,3.0,5.0,4.0,7.0,68.0,6.0,6.0,,,
132,6,1,2.0,67,18,33,8,0.0,0.0,8.0,10.0,6.0,11.0,3.0,3.0,52.0,6.0,6.0,,,
133,7,0,0.0,61,15,39,11,2.0,4.0,23.0,35.0,6.0,11.0,10.0,16.0,61.0,4.0,4.0,,,
134,8,0,0.0,66,23,34,7,3.0,3.0,20.0,28.0,3.0,10.0,7.0,12.0,56.0,4.0,3.0,,,
135,9,0,1.0,71,48,29,14,0.0,1.0,0.0,1.0,5.0,12.0,,,113.0,2.0,7.0,7.0,,
136,10,1,2.0,66,22,34,13,0.0,0.0,10.0,19.0,4.0,10.0,1.0,2.0,67.0,6.0,6.0,,,
137,11,0,0.0,57,14,43,5,2.0,5.0,12.0,32.0,0.0,0.0,6.0,10.0,27.0,3.0,0.0,,,
138,12,1,2.0,64,30,36,16,1.0,4.0,1.0,4.0,5.0,11.0,,,82.0,7.0,6.0,,,
139,13,0,0.0,54,32,46,15,5.0,4.0,22.0,40.0,2.0,7.0,4.0,6.0,78.0,6.0,6.0,,,
140,14,0,0.0,51,14,49,12,,3.0,8.0,36.0,3.0,5.0,5.0,11.0,47.0,3.0,3.0,,,
141,15,1,2.0,50,20,50,15,4.0,2.0,39.0,36.0,5.0,9.0,7.0,10.0,65.0,6.0,6.0,,,
142,16,1,2.0,76,24,24,7,3.0,0.0,20.0,18.0,5.0,12.0,13.0,19.0,61.0,6.0,6.0,,,
143,17,1,2.0,53,25,47,15,5.0,5.0,27.0,44.0,10.0,20.0,7.0,14.0,94.0,6.0,4.0,6.0,,
144,18,0,0.0,47,17,53,9,1.0,2.0,1.0,2.0,0.0,5.0,,,37.0,3.0,1.0,,,
145,19,0,1.0,61,35,39,20,6.0,3.0,6.0,3.0,2.0,7.0,,,82.0,5.0,6.0,1.0,,
146,20,1,2.0,63,43,37,17,1.0,4.0,21.0,26.0,5.0,12.0,6.0,10.0,97.0,2.0,6.0,6.0,,
147,21,0,0.0,86,18,14,3,0.0,1.0,0.0,1.0,2.0,4.0,,,41.0,3.0,1.0,,,
148,22,0,0.0,80,21,20,2,2.0,1.0,23.0,38.0,3.0,7.0,9.0,23.0,49.0,4.0,1.0,,,
149,23,0,0.0,43,17,57,8,2.0,10.0,11.0,26.0,0.0,7.0,0.0,3.0,51.0,2.0,1.0,,,
150,24,1,2.0,65,36,35,13,6.0,5.0,30.0,17.0,4.0,7.0,9.0,12.0,81.0,6.0,0.0,6.0,,
151,25,0,0.0,58,22,42,15,3.0,7.0,3.0,7.0,4.0,6.0,,,77.0,2.0,6.0,,,
152,26,0,0.0,48,24,52,23,3.0,12.0,3.0,12.0,2.0,15.0,,,87.0,6.0,3.0,,,
153,27,1,2.0,64,24,36,8,4.0,3.0,15.0,16.0,4.0,8.0,5.0,5.0,57.0,6.0,6.0,,,
154,28,1,2.0,40,16,60,14,2.0,3.0,28.0,21.0,6.0,17.0,9.0,11.0,66.0,6.0,6.0,,,
155,29,1,2.0,61,30,39,13,8.0,5.0,25.0,27.0,4.0,5.0,6.0,6.0,68.0,6.0,6.0,,,
156,30,0,0.0,75,31,25,8,2.0,1.0,17.0,21.0,2.0,6.0,8.0,10.0,68.0,6.0,3.0,,,
157,31,1,2.0,48,26,52,20,4.0,6.0,28.0,27.0,5.0,16.0,7.0,8.0,92.0,6.0,1.0,6.0,,
158,32,1,2.0,60,23,40,11,6.0,6.0,20.0,19.0,5.0,8.0,2.0,4.0,59.0,6.0,6.0,,,
159,33,0,0.0,63,27,37,11,4.0,7.0,24.0,43.0,2.0,8.0,11.0,14.0,68.0,2.0,6.0,,,
160,34,1,2.0,74,39,26,10,1.0,6.0,23.0,37.0,8.0,16.0,2.0,4.0,103.0,7.0,4.0,6.0,,
161,35,0,0.0,68,23,32,6,1.0,4.0,15.0,31.0,1.0,3.0,7.0,11.0,48.0,2.0,3.0,,,
162,36,0,0.0,57,25,43,13,5.0,1.0,20.0,32.0,3.0,14.0,6.0,7.0,78.0,4.0,6.0,,,
163,37,1,2.0,74,33,26,6,1.0,4.0,1.0,4.0,5.0,6.0,,,72.0,6.0,6.0,,,
164,38,0,1.0,63,35,37,20,1.0,3.0,9.0,34.0,3.0,9.0,0.0,1.0,92.0,6.0,3.0,4.0,,
165,39,0,0.0,77,12,23,1,1.0,3.0,5.0,25.0,0.0,2.0,5.0,8.0,24.0,0.0,1.0,,,
166,40,1,2.0,79,31,21,4,0.0,1.0,17.0,19.0,4.0,5.0,6.0,9.0,61.0,6.0,6.0,,,
167,41,1,2.0,64,41,36,18,3.0,3.0,3.0,3.0,6.0,11.0,,,109.0,7.0,4.0,7.0,,
168,42,0,0.0,48,29,52,19,3.0,8.0,23.0,41.0,1.0,1.0,14.0,22.0,61.0,5.0,5.0,,,
169,43,0,0.0,60,21,40,11,5.0,2.0,14.0,27.0,1.0,6.0,5.0,11.0,57.0,3.0,4.0,,,
170,44,0,,75,3,25,1,1.0,,2.0,0.0,,,1.0,1.0,5.0,,,,,
171,45,1,2.0,51,38,49,23,5.0,13.0,27.0,47.0,4.0,12.0,3.0,7.0,97.0,4.0,6.0,6.0,,
172,46,0,0.0,57,26,43,7,2.0,7.0,2.0,7.0,2.0,3.0,,,56.0,4.0,2.0,,,
173,47,0,0.0,57,27,43,10,4.0,8.0,18.0,30.0,2.0,6.0,7.0,9.0,65.0,3.0,4.0,,,
174,48,1,2.0,59,36,41,15,9.0,1.0,38.0,31.0,7.0,11.0,22.0,35.0,96.0,6.0,5.0,6.0,,
175,49,1,2.0,68,35,32,8,10.0,4.0,10.0,4.0,4.0,12.0,,,78.0,6.0,7.0,,,
176,50,0,0.0,62,16,38,10,1.0,4.0,1.0,4.0,2.0,6.0,,,47.0,1.0,4.0,,,
177,51,0,0.0,68,43,32,14,3.0,7.0,3.0,7.0,2.0,4.0,,,84.0,6.0,4.0,,,
178,52,0,1.0,64,27,36,12,6.0,3.0,22.0,39.0,3.0,9.0,3.0,4.0,69.0,2.0,6.0,2.0,,
179,53,0,1.0,60,46,40,17,8.0,11.0,8.0,11.0,5.0,24.0,,,120.0,6.0,4.0,5.0,,
180,54,1,2.0,71,31,29,11,4.0,3.0,4.0,3.0,5.0,9.0,,,77.0,7.0,6.0,,,
181,55,0,0.0,58,10,42,8,,2.0,9.0,30.0,1.0,2.0,5.0,7.0,31.0,0.0,2.0,,,
182,56,1,2.0,75,31,25,7,1.0,1.0,22.0,27.0,6.0,12.0,1.0,3.0,82.0,7.0,6.0,,,
183,57,0,1.0,72,54,28,10,4.0,7.0,4.0,7.0,3.0,6.0,,,99.0,6.0,6.0,4.0,,
184,58,1,2.0,63,25,37,10,2.0,6.0,21.0,31.0,6.0,13.0,4.0,5.0,66.0,6.0,6.0,,,
185,59,1,2.0,61,26,39,8,5.0,5.0,27.0,21.0,5.0,12.0,12.0,18.0,65.0,6.0,6.0,,,
186,60,1,2.0,76,43,24,11,0.0,1.0,0.0,1.0,9.0,13.0,,,100.0,6.0,6.0,6.0,,
187,61,0,0.0,53,27,47,12,2.0,13.0,2.0,13.0,4.0,7.0,,,71.0,6.0,4.0,,,
188,62,0,1.0,58,33,42,15,1.0,5.0,14.0,39.0,1.0,4.0,11.0,16.0,75.0,1.0,6.0,1.0,,
189,63,0,0.0,72,24,28,5,2.0,5.0,13.0,29.0,3.0,10.0,4.0,5.0,59.0,6.0,2.0,,,
190,64,1,2.0,66,28,34,8,10.0,2.0,24.0,19.0,4.0,7.0,3.0,4.0,61.0,6.0,6.0,,,
191,65,0,1.0,55,50,45,28,11.0,6.0,57.0,60.0,3.0,14.0,15.0,17.0,123.0,3.0,6.0,1.0,,
192,66,1,2.0,59,20,41,10,4.0,3.0,23.0,15.0,5.0,13.0,13.0,17.0,58.0,6.0,6.0,,,
193,67,0,0.0,75,13,25,3,0.0,3.0,10.0,29.0,2.0,3.0,5.0,8.0,35.0,1.0,2.0,,,
194,68,1,2.0,76,40,24,14,0.0,4.0,19.0,48.0,7.0,10.0,10.0,15.0,102.0,7.0,1.0,7.0,,
195,69,1,2.0,73,22,27,6,1.0,0.0,15.0,15.0,6.0,19.0,7.0,10.0,61.0,6.0,6.0,,,
196,70,1,2.0,50,26,50,17,4.0,2.0,25.0,25.0,5.0,10.0,3.0,7.0,84.0,6.0,7.0,,,
197,71,1,2.0,69,51,31,15,0.0,6.0,14.0,20.0,3.0,7.0,5.0,7.0,94.0,7.0,2.0,6.0,,
198,72,1,2.0,60,27,40,12,4.0,2.0,30.0,31.0,5.0,7.0,2.0,5.0,67.0,6.0,7.0,,,
199,73,0,1.0,44,33,56,26,9.0,9.0,9.0,9.0,0.0,6.0,,,90.0,7.0,3.0,0.0,,
200,74,1,2.0,56,26,44,14,4.0,6.0,18.0,28.0,5.0,13.0,9.0,14.0,74.0,6.0,7.0,,,
201,75,1,2.0,66,35,34,9,0.0,6.0,8.0,18.0,7.0,14.0,12.0,16.0,87.0,2.0,6.0,6.0,,
202,76,1,2.0,59,24,41,11,3.0,1.0,22.0,10.0,4.0,13.0,3.0,4.0,65.0,6.0,6.0,,,
203,77,0,0.0,63,13,37,6,3.0,3.0,14.0,30.0,0.0,2.0,3.0,7.0,36.0,1.0,1.0,,,
204,78,1,2.0,45,22,55,18,9.0,0.0,21.0,14.0,2.0,6.0,4.0,4.0,67.0,6.0,6.0,,,
205,79,1,2.0,63,44,37,18,3.0,6.0,25.0,33.0,4.0,5.0,11.0,20.0,92.0,4.0,6.0,6.0,,
