,Player1,Player2,Round,Result,FNL.1,FNL.2,FSP.1,FSW.1,SSP.1,SSW.1,ACE.1,DBF.1,WNR.1,UFE.1,BPC.1,BPW.1,NPA.1,NPW.1,TPW.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,FSP.2,FSW.2,SSP.2,SSW.2,ACE.2,DBF.2,WNR.2,UFE.2,BPC.2,BPW.2,NPA.2,NPW.2,TPW.2,ST1.2,ST2.2,ST3.2,ST4.2,ST5.2
12,Samuel Groth,Vasek Pospisil,1,0,0.0,3.0,65,40,35,17,16.0,4.0,35.0,25.0,0.0,2.0,20.0,43.0,74.0,4.0,3.0,4.0,,,67,45,33,13,6.0,4.0,31.0,17.0,4.0,10.0,6.0,10.0,94.0,6.0,6.0,6.0,,
13,Nicolas Mahut,Matthew Ebden,1,0,2.0,3.0,64,63,36,23,7.0,4.0,49.0,57.0,6.0,15.0,24.0,46.0,137.0,3.0,5.0,6.0,6.0,3.0,67,58,33,23,7.0,7.0,45.0,55.0,6.0,12.0,28.0,37.0,131.0,6.0,7.0,4.0,0.0,6.0
14,Alejandro Falla,Mikhail Kukushkin,1,1,3.0,1.0,60,50,40,23,4.0,2.0,4.0,2.0,10.0,28.0,,,151.0,6.0,6.0,6.0,6.0,,55,55,45,23,2.0,3.0,2.0,3.0,4.0,14.0,,,128.0,7.0,2.0,2.0,3.0,
15,Stanislas Wawrinka,Andrey Golubev,1,1,2.0,0.0,63,20,37,6,4.0,1.0,23.0,11.0,4.0,9.0,13.0,14.0,54.0,6.0,4.0,,,,64,18,36,10,0.0,0.0,8.0,15.0,1.0,2.0,6.0,12.0,37.0,4.0,1.0,,,
16,Alejandro Gonzalez,David Ferrer,1,0,0.0,3.0,68,34,32,7,2.0,4.0,22.0,41.0,5.0,7.0,11.0,21.0,75.0,3.0,4.0,4.0,,,53,28,47,21,2.0,6.0,33.0,30.0,8.0,12.0,18.0,22.0,96.0,6.0,6.0,6.0,,
17,Steve Johnson,Adrian Mannarino,1,0,2.0,3.0,53,50,47,28,21.0,12.0,21.0,12.0,4.0,6.0,,,129.0,6.0,3.0,0.0,7.0,4.0,58,52,42,37,3.0,3.0,3.0,3.0,7.0,11.0,,,142.0,3.0,6.0,6.0,5.0,6.0
18,Ricardas Berankis,Alexandr Dolgopolov,1,0,0.0,3.0,50,39,50,26,10.0,3.0,28.0,38.0,1.0,3.0,17.0,31.0,91.0,5.0,5.0,2.0,,,58,42,42,23,7.0,4.0,37.0,31.0,5.0,16.0,12.0,12.0,114.0,7.0,7.0,6.0,,
19,Jeremy Chardy,Jesse Huta Galung,1,1,3.0,0.0,66,46,34,16,9.0,2.0,31.0,27.0,4.0,9.0,12.0,13.0,94.0,6.0,6.0,6.0,,,57,41,43,13,9.0,7.0,30.0,33.0,0.0,5.0,14.0,17.0,80.0,2.0,4.0,4.0,,
20,Jordan Thompson,Jerzy Janowicz,1,0,2.0,3.0,60,58,40,21,13.0,8.0,40.0,36.0,3.0,10.0,18.0,28.0,140.0,6.0,6.0,4.0,2.0,1.0,64,74,36,27,18.0,11.0,62.0,64.0,5.0,9.0,31.0,46.0,153.0,1.0,4.0,6.0,6.0,6.0
21,Albert Ramos,Pablo Andujar,1,0,0.0,3.0,61,32,39,10,2.0,3.0,2.0,3.0,3.0,7.0,,,77.0,4.0,2.0,4.0,,,73,40,27,15,2.0,1.0,2.0,1.0,7.0,12.0,,,97.0,6.0,6.0,6.0,,
22,Florian Mayer,Denis Kudla,1,1,3.0,0.0,58,36,42,22,6.0,1.0,25.0,23.0,5.0,11.0,11.0,14.0,101.0,6.0,6.0,6.0,,,59,35,41,18,1.0,2.0,31.0,45.0,1.0,3.0,12.0,20.0,78.0,4.0,2.0,4.0,,
23,Mikhail Youzhny,Jan-Lennard Struff,1,1,3.0,0.0,69,39,31,17,5.0,2.0,11.0,30.0,7.0,9.0,5.0,8.0,95.0,6.0,6.0,6.0,,,49,24,51,12,2.0,8.0,20.0,61.0,2.0,5.0,15.0,22.0,66.0,1.0,4.0,2.0,,
24,Guillermo Garcia-Lopez,Tommy Haas,1,1,2.0,0.0,58,27,42,11,7.0,3.0,19.0,9.0,4.0,4.0,3.0,5.0,65.0,7.0,5.0,,,,52,22,48,11,4.0,7.0,18.0,35.0,1.0,2.0,10.0,10.0,55.0,5.0,2.0,,,
25,Carlos Berlocq,Edouard Roger-Vasselin,1,0,1.0,3.0,57,49,43,32,9.0,4.0,9.0,4.0,4.0,13.0,,,150.0,4.0,6.0,7.0,2.0,,65,67,35,32,6.0,6.0,6.0,6.0,7.0,16.0,,,163.0,6.0,7.0,6.0,6.0,
26,Dominic Thiem,Joao Sousa,1,1,3.0,1.0,55,60,45,31,20.0,3.0,20.0,3.0,5.0,12.0,,,148.0,5.0,6.0,6.0,7.0,,65,57,35,30,8.0,0.0,8.0,0.0,3.0,8.0,,,133.0,7.0,4.0,3.0,6.0,
27,Kevin Anderson,Jiri Vesely,1,1,3.0,2.0,63,76,37,28,21.0,9.0,21.0,9.0,3.0,14.0,,,154.0,2.0,6.0,6.0,6.0,6.0,57,69,43,43,16.0,10.0,16.0,10.0,2.0,6.0,,,154.0,6.0,7.0,4.0,4.0,4.0
28,Ivo Karlovic,Ivan Dodig,1,0,0.0,3.0,66,55,34,18,25.0,1.0,48.0,27.0,1.0,3.0,24.0,50.0,93.0,6.0,3.0,6.0,,,83,68,17,12,8.0,2.0,41.0,7.0,2.0,3.0,24.0,35.0,108.0,7.0,6.0,7.0,,
29,Jan Hajek,Damir Dzumhur,1,0,0.0,3.0,73,31,27,6,2.0,6.0,2.0,6.0,1.0,2.0,,,55.0,4.0,2.0,1.0,,,53,31,47,19,4.0,3.0,4.0,3.0,7.0,12.0,,,95.0,6.0,6.0,6.0,,
30,Di Wu,Kenny De Schepper,1,0,0.0,3.0,60,46,40,29,3.0,5.0,33.0,36.0,2.0,13.0,23.0,35.0,125.0,5.0,5.0,6.0,,,62,63,38,20,19.0,13.0,58.0,66.0,4.0,11.0,29.0,44.0,134.0,7.0,7.0,7.0,,
31,Tomas Berdych,Aleksandr Nedovyesov,1,1,3.0,0.0,66,39,34,19,9.0,0.0,35.0,17.0,4.0,14.0,13.0,23.0,97.0,6.0,6.0,6.0,,,61,37,39,17,8.0,2.0,22.0,37.0,0.0,2.0,11.0,16.0,67.0,3.0,4.0,3.0,,
32,James Duckworth,Roger Federer,1,0,0.0,3.0,52,36,48,19,13.0,3.0,34.0,38.0,0.0,1.0,19.0,34.0,74.0,4.0,4.0,2.0,,,58,40,42,19,11.0,5.0,30.0,17.0,4.0,17.0,18.0,22.0,96.0,6.0,6.0,6.0,,
33,Radek Stepanek,Blaz Kavcic,1,0,2.0,2.0,51,37,49,29,5.0,11.0,51.0,54.0,4.0,11.0,22.0,32.0,104.0,7.0,6.0,1.0,0.0,,63,43,37,22,10.0,6.0,41.0,27.0,6.0,14.0,6.0,15.0,121.0,6.0,4.0,6.0,2.0,
34,Teymuraz Gabashvili,Sergiy Stakhovsky,1,1,3.0,1.0,58,49,42,24,5.0,4.0,5.0,4.0,9.0,17.0,,,133.0,6.0,6.0,6.0,6.0,,55,50,45,21,14.0,8.0,14.0,8.0,3.0,6.0,,,112.0,7.0,4.0,2.0,0.0,
35,Fernando Verdasco,Ze Zhang,1,1,3.0,1.0,61,59,39,24,20.0,6.0,44.0,40.0,5.0,14.0,7.0,11.0,125.0,5.0,6.0,6.0,6.0,,58,44,42,25,7.0,6.0,20.0,48.0,1.0,5.0,10.0,17.0,101.0,7.0,3.0,2.0,3.0,
36,Daniel Brands,Gilles Simon,1,0,2.0,3.0,63,109,37,36,41.0,4.0,111.0,81.0,2.0,25.0,29.0,44.0,231.0,7.0,4.0,6.0,3.0,1.0,56,114,44,57,32.0,18.0,75.0,53.0,4.0,10.0,37.0,55.0,230.0,6.0,6.0,3.0,6.0,1.0
37,Marin Cilic,Marcel Granollers,1,1,3.0,2.0,58,57,42,30,22.0,4.0,63.0,53.0,5.0,8.0,21.0,31.0,145.0,4.0,4.0,6.0,6.0,6.0,61,64,39,27,13.0,4.0,41.0,34.0,2.0,3.0,20.0,29.0,124.0,6.0,6.0,3.0,3.0,2.0
38,Thomaz Bellucci,Julian Reister,1,1,2.0,1.0,53,39,47,24,8.0,6.0,33.0,37.0,4.0,7.0,18.0,22.0,98.0,4.0,6.0,7.0,,,60,41,40,16,4.0,9.0,21.0,36.0,4.0,8.0,8.0,19.0,93.0,6.0,3.0,6.0,,
39,Jo-Wilfried Tsonga,Filippo Volandri,1,1,3.0,0.0,62,37,38,23,15.0,1.0,36.0,25.0,5.0,13.0,12.0,15.0,104.0,7.0,6.0,6.0,,,57,35,43,20,2.0,6.0,28.0,39.0,1.0,2.0,20.0,31.0,77.0,5.0,3.0,3.0,,
40,Martin Klizan,John Isner,1,1,2.0,0.0,54,25,46,21,9.0,2.0,27.0,10.0,2.0,5.0,1.0,3.0,71.0,6.0,7.0,,,,78,36,22,6,10.0,0.0,23.0,23.0,0.0,3.0,5.0,10.0,52.0,2.0,6.0,,,
41,Blaz Rola,Federico Delbonis,1,1,3.0,0.0,68,57,32,13,6.0,8.0,6.0,8.0,4.0,9.0,,,108.0,6.0,6.0,7.0,,,63,38,37,16,4.0,1.0,4.0,1.0,0.0,8.0,,,86.0,4.0,2.0,5.0,,
42,Michal Przysiezny,Horacio Zeballos,1,1,3.0,0.0,69,48,31,17,15.0,0.0,15.0,0.0,5.0,8.0,,,104.0,6.0,7.0,7.0,,,60,43,40,18,11.0,4.0,11.0,4.0,2.0,4.0,,,85.0,3.0,6.0,5.0,,
43,Stephane Robert,Aljaz Bedene,1,1,3.0,0.0,46,25,54,21,4.0,2.0,22.0,22.0,9.0,17.0,11.0,12.0,104.0,7.0,6.0,6.0,,,54,40,46,9,16.0,11.0,28.0,52.0,4.0,5.0,6.0,10.0,74.0,6.0,3.0,0.0,,
44,Somdev Devvarman,Feliciano Lopez,1,0,0.0,3.0,52,34,48,28,6.0,1.0,6.0,1.0,2.0,7.0,,,89.0,4.0,4.0,6.0,,,65,50,35,18,12.0,2.0,12.0,2.0,4.0,7.0,,,110.0,6.0,6.0,7.0,,
45,Michael Berrer,Michael Llodra,1,1,3.0,0.0,63,39,37,19,9.0,6.0,9.0,6.0,5.0,12.0,,,95.0,6.0,7.0,6.0,,,72,47,28,12,10.0,5.0,10.0,5.0,0.0,2.0,,,74.0,4.0,5.0,1.0,,
46,Vincent Millot,Wayne Odesnik,1,1,3.0,2.0,57,63,43,34,18.0,9.0,54.0,68.0,11.0,26.0,8.0,11.0,173.0,7.0,4.0,6.0,6.0,6.0,67,67,33,22,11.0,2.0,39.0,73.0,7.0,20.0,10.0,17.0,158.0,5.0,6.0,7.0,1.0,3.0
47,Andy Murray,Go Soeda,1,1,3.0,0.0,69,33,31,11,12.0,2.0,32.0,13.0,7.0,13.0,4.0,5.0,84.0,6.0,6.0,6.0,,,61,28,39,6,6.0,3.0,23.0,33.0,0.0,0.0,11.0,16.0,49.0,1.0,1.0,3.0,,
48,Rhyne Williams,Juan Martin Del Potro,1,0,1.0,3.0,57,52,43,25,29.0,1.0,55.0,39.0,1.0,2.0,12.0,18.0,107.0,7.0,3.0,4.0,4.0,,64,62,36,23,16.0,3.0,46.0,29.0,4.0,8.0,21.0,28.0,122.0,6.0,6.0,6.0,6.0,
49,Roberto Bautista Agut,Tim Smyczek,1,1,3.0,0.0,82,37,18,7,1.0,1.0,1.0,1.0,8.0,18.0,,,95.0,6.0,6.0,6.0,,,61,28,39,10,8.0,5.0,8.0,5.0,1.0,2.0,,,55.0,2.0,1.0,1.0,,
50,Nick Kyrgios,Benjamin Becker,1,1,3.0,1.0,54,60,46,25,34.0,13.0,71.0,52.0,6.0,8.0,5.0,8.0,133.0,6.0,6.0,6.0,7.0,,53,45,47,31,12.0,5.0,38.0,36.0,3.0,7.0,6.0,6.0,114.0,3.0,7.0,2.0,6.0,
51,Benoit Paire,Frank Dancevic,1,1,3.0,0.0,57,54,43,22,24.0,6.0,58.0,25.0,3.0,12.0,22.0,35.0,117.0,7.0,6.0,6.0,,,59,47,41,20,12.0,3.0,36.0,14.0,1.0,4.0,15.0,32.0,97.0,6.0,3.0,4.0,,
52,Bradley Klahn,Grigor Dimitrov,1,0,1.0,3.0,58,54,42,28,10.0,9.0,10.0,9.0,0.0,0.0,,,105.0,7.0,4.0,4.0,3.0,,57,55,43,30,14.0,4.0,14.0,4.0,4.0,8.0,,,133.0,6.0,6.0,6.0,6.0,
53,Jimmy Wang,Yen-Hsun Lu,1,0,0.0,3.0,63,32,37,12,1.0,3.0,1.0,3.0,3.0,7.0,,,76.0,3.0,2.0,1.0,,,62,33,38,11,9.0,5.0,9.0,5.0,9.0,19.0,,,101.0,6.0,6.0,6.0,,
54,Peter Gojowczyk,Victor Hanescu,1,0,0.0,3.0,55,44,45,22,8.0,6.0,36.0,59.0,1.0,6.0,5.0,7.0,103.0,6.0,6.0,3.0,,,66,60,34,23,9.0,4.0,24.0,34.0,2.0,6.0,10.0,12.0,121.0,7.0,7.0,6.0,,
55,Milos Raonic,Daniel Gimeno-Traver,1,1,3.0,1.0,64,56,36,17,21.0,7.0,48.0,29.0,7.0,20.0,21.0,30.0,127.0,7.0,6.0,4.0,6.0,,56,43,44,25,5.0,5.0,22.0,33.0,3.0,6.0,8.0,12.0,96.0,6.0,1.0,6.0,2.0,
56,Marinko Matosevic,Kei Nishikori,1,0,2.0,3.0,61,69,39,29,14.0,9.0,46.0,63.0,3.0,9.0,16.0,30.0,147.0,3.0,7.0,2.0,6.0,2.0,66,68,34,25,6.0,6.0,44.0,50.0,7.0,15.0,11.0,16.0,167.0,6.0,5.0,6.0,4.0,6.0
57,Dusan Lajovic,Lucas Pouille,1,1,3.0,1.0,61,53,39,30,7.0,7.0,28.0,57.0,5.0,10.0,8.0,17.0,141.0,6.0,7.0,4.0,6.0,,61,55,39,22,2.0,10.0,41.0,88.0,4.0,8.0,23.0,39.0,126.0,4.0,6.0,6.0,3.0,
58,Robin Haase,Donald Young,1,0,1.0,3.0,67,56,33,18,11.0,6.0,38.0,56.0,1.0,4.0,13.0,15.0,106.0,7.0,6.0,2.0,0.0,,73,58,27,16,0.0,5.0,34.0,33.0,2.0,7.0,29.0,40.0,124.0,6.0,7.0,6.0,1.0,
59,Andreas Seppi,Lleyton Hewitt,1,1,3.0,2.0,59,72,41,40,17.0,5.0,67.0,59.0,7.0,18.0,8.0,11.0,175.0,7.0,6.0,5.0,5.0,7.0,51,76,49,38,23.0,5.0,54.0,61.0,7.0,13.0,23.0,40.0,178.0,6.0,3.0,7.0,7.0,5.0
60,Ryan Harrison,Gael Monfils,1,0,0.0,3.0,62,42,38,17,2.0,1.0,19.0,23.0,0.0,0.0,13.0,20.0,76.0,4.0,4.0,4.0,,,64,43,36,18,9.0,5.0,43.0,27.0,3.0,4.0,18.0,22.0,95.0,6.0,6.0,6.0,,
61,Tobias Kamke,Jack Sock,1,0,1.0,3.0,49,51,51,36,6.0,8.0,6.0,8.0,2.0,12.0,,,138.0,6.0,7.0,2.0,4.0,,50,54,50,43,16.0,12.0,16.0,12.0,4.0,10.0,,,146.0,7.0,5.0,6.0,6.0,
62,Thanasi Kokkinakis,Igor Sijsling,1,1,3.0,1.0,54,55,46,36,8.0,9.0,54.0,45.0,3.0,5.0,14.0,23.0,135.0,7.0,0.0,7.0,6.0,,59,56,41,23,20.0,5.0,53.0,47.0,4.0,9.0,23.0,36.0,135.0,6.0,6.0,6.0,2.0,
63,Rafael Nadal,Bernard Tomic,1,1,1.0,0.0,62,14,38,6,5.0,1.0,13.0,5.0,1.0,1.0,5.0,5.0,30.0,6.0,,,,,71,15,29,3,3.0,1.0,13.0,7.0,0.0,0.0,3.0,5.0,24.0,4.0,,,,
64,Leonardo Mayer,Novak Djokovic,2,0,0.0,3.0,52,28,48,17,3.0,7.0,14.0,39.0,0.0,0.0,7.0,11.0,59.0,0.0,4.0,4.0,,,66,36,34,17,12.0,2.0,30.0,11.0,5.0,6.0,5.0,9.0,93.0,6.0,6.0,6.0,,
65,Dmitry Tursunov,Denis Istomin,2,0,1.0,3.0,53,45,47,26,5.0,5.0,31.0,44.0,3.0,10.0,24.0,38.0,106.0,6.0,6.0,1.0,4.0,,54,47,46,36,14.0,1.0,46.0,34.0,5.0,8.0,14.0,18.0,127.0,7.0,4.0,6.0,6.0,
66,Sam Querrey,Ernests Gulbis,2,1,3.0,0.0,72,45,28,11,19.0,4.0,30.0,21.0,5.0,9.0,6.0,11.0,88.0,6.0,6.0,6.0,,,46,23,54,21,7.0,4.0,19.0,41.0,1.0,3.0,6.0,11.0,59.0,2.0,3.0,4.0,,
67,Fabio Fognini,Jarkko Nieminen,2,1,3.0,1.0,58,62,42,30,9.0,12.0,51.0,60.0,5.0,15.0,27.0,33.0,144.0,7.0,6.0,3.0,6.0,,65,57,35,23,3.0,5.0,24.0,37.0,2.0,16.0,15.0,24.0,134.0,5.0,4.0,6.0,2.0,
68,Nikolay Davydenko,Richard Gasquet,2,0,0.0,3.0,77,48,23,11,6.0,1.0,39.0,43.0,4.0,5.0,9.0,12.0,97.0,6.0,4.0,4.0,,,58,41,42,21,9.0,5.0,33.0,37.0,6.0,11.0,10.0,15.0,110.0,7.0,6.0,6.0,,
69,Tommy Robredo,Julien Benneteau,2,1,3.0,1.0,58,61,42,38,17.0,3.0,66.0,25.0,4.0,13.0,13.0,17.0,159.0,6.0,6.0,6.0,7.0,,62,68,38,27,14.0,6.0,64.0,65.0,1.0,11.0,42.0,65.0,138.0,3.0,7.0,1.0,6.0,
70,Matthew Ebden,Vasek Pospisil,2,0,1.0,3.0,68,64,32,19,8.0,3.0,30.0,43.0,3.0,11.0,26.0,35.0,121.0,6.0,6.0,6.0,1.0,,60,59,40,31,13.0,3.0,46.0,47.0,4.0,5.0,25.0,39.0,132.0,3.0,7.0,7.0,6.0,
71,Stanislas Wawrinka,Alejandro Falla,2,1,3.0,1.0,56,57,44,31,9.0,4.0,61.0,46.0,6.0,17.0,23.0,29.0,142.0,6.0,6.0,6.0,6.0,,60,56,40,25,1.0,3.0,26.0,37.0,2.0,7.0,24.0,39.0,117.0,3.0,3.0,7.0,4.0,
72,Adrian Mannarino,David Ferrer,2,0,1.0,3.0,55,44,45,25,5.0,1.0,32.0,73.0,5.0,10.0,18.0,31.0,113.0,6.0,7.0,0.0,3.0,,68,56,32,18,0.0,4.0,32.0,48.0,9.0,17.0,21.0,22.0,142.0,7.0,5.0,6.0,6.0,
73,Jeremy Chardy,Alexandr Dolgopolov,2,1,3.0,1.0,60,74,40,30,22.0,10.0,76.0,73.0,5.0,14.0,24.0,38.0,164.0,7.0,7.0,6.0,7.0,,71,81,29,22,15.0,2.0,43.0,36.0,4.0,12.0,19.0,24.0,160.0,5.0,6.0,7.0,6.0,
74,Pablo Andujar,Jerzy Janowicz,2,0,1.0,3.0,79,71,21,20,11.0,1.0,57.0,28.0,3.0,11.0,17.0,26.0,149.0,6.0,6.0,6.0,3.0,,67,76,33,25,15.0,5.0,63.0,47.0,3.0,11.0,11.0,18.0,151.0,4.0,7.0,7.0,6.0,
75,Mikhail Youzhny,Florian Mayer,2,0,2.0,3.0,55,55,45,36,14.0,5.0,48.0,46.0,3.0,7.0,14.0,21.0,126.0,4.0,6.0,3.0,6.0,3.0,60,59,40,33,19.0,3.0,48.0,41.0,4.0,11.0,29.0,42.0,136.0,6.0,3.0,6.0,3.0,6.0
76,Edouard Roger-Vasselin,Guillermo Garcia-Lopez,2,1,3.0,1.0,57,49,43,28,11.0,2.0,11.0,2.0,7.0,17.0,,,130.0,7.0,6.0,4.0,6.0,,51,46,49,26,9.0,10.0,9.0,10.0,4.0,13.0,,,117.0,6.0,4.0,6.0,1.0,
77,Kevin Anderson,Dominic Thiem,2,1,3.0,0.0,65,43,35,18,15.0,5.0,30.0,22.0,3.0,5.0,12.0,15.0,87.0,6.0,6.0,6.0,,,59,34,41,16,10.0,3.0,28.0,21.0,0.0,2.0,2.0,5.0,69.0,4.0,3.0,4.0,,
78,Damir Dzumhur,Ivan Dodig,2,0,2.0,2.0,51,36,49,26,7.0,6.0,33.0,27.0,3.0,5.0,12.0,18.0,95.0,4.0,4.0,6.0,4.0,,55,39,45,20,13.0,2.0,37.0,43.0,3.0,7.0,12.0,19.0,91.0,6.0,6.0,3.0,1.0,
79,Tomas Berdych,Kenny De Schepper,2,1,3.0,0.0,64,37,36,15,5.0,4.0,29.0,13.0,5.0,8.0,21.0,25.0,93.0,6.0,6.0,6.0,,,63,33,37,10,8.0,9.0,29.0,32.0,0.0,0.0,14.0,25.0,57.0,4.0,1.0,3.0,,
80,Blaz Kavcic,Roger Federer,2,0,0.0,3.0,62,32,38,18,6.0,3.0,14.0,21.0,1.0,2.0,4.0,13.0,72.0,2.0,1.0,6.0,,,76,45,24,9,11.0,0.0,52.0,35.0,6.0,11.0,23.0,29.0,103.0,6.0,6.0,7.0,,
81,Fernando Verdasco,Teymuraz Gabashvili,2,0,2.0,3.0,60,67,40,34,12.0,18.0,56.0,71.0,6.0,10.0,15.0,26.0,156.0,6.0,6.0,6.0,4.0,4.0,68,62,32,26,2.0,4.0,24.0,51.0,5.0,17.0,6.0,10.0,146.0,7.0,3.0,2.0,6.0,6.0
82,Marin Cilic,Gilles Simon,2,0,2.0,3.0,50,50,50,32,15.0,7.0,15.0,7.0,7.0,15.0,,,156.0,6.0,6.0,7.0,1.0,2.0,49,65,51,41,7.0,8.0,7.0,8.0,10.0,12.0,,,171.0,4.0,7.0,6.0,6.0,6.0
83,Jo-Wilfried Tsonga,Thomaz Bellucci,2,1,3.0,0.0,64,51,36,18,14.0,6.0,47.0,28.0,3.0,9.0,16.0,24.0,110.0,7.0,6.0,6.0,,,45,31,55,34,9.0,5.0,19.0,29.0,1.0,4.0,13.0,18.0,88.0,6.0,4.0,4.0,,
84,Blaz Rola,Martin Klizan,2,0,1.0,3.0,63,66,37,24,12.0,8.0,12.0,8.0,3.0,4.0,,,123.0,4.0,3.0,7.0,6.0,,58,49,42,34,16.0,5.0,16.0,5.0,5.0,14.0,,,139.0,6.0,6.0,5.0,7.0,
85,Stephane Robert,Michal Przysiezny,2,1,3.0,1.0,58,56,42,30,13.0,8.0,43.0,28.0,6.0,17.0,13.0,15.0,143.0,7.0,6.0,6.0,6.0,,58,50,42,24,12.0,6.0,46.0,63.0,2.0,7.0,22.0,36.0,112.0,6.0,1.0,7.0,1.0,
86,Michael Berrer,Feliciano Lopez,2,0,0.0,3.0,68,47,32,17,6.0,3.0,29.0,25.0,2.0,4.0,37.0,61.0,93.0,4.0,6.0,4.0,,,62,45,38,23,8.0,3.0,43.0,24.0,4.0,11.0,17.0,21.0,108.0,6.0,7.0,6.0,,
87,Andy Murray,Vincent Millot,2,1,3.0,0.0,59,35,41,17,5.0,5.0,25.0,31.0,8.0,17.0,7.0,7.0,106.0,6.0,6.0,7.0,,,55,25,45,20,2.0,7.0,22.0,55.0,3.0,4.0,12.0,20.0,68.0,2.0,2.0,5.0,,
88,Roberto Bautista Agut,Juan Martin Del Potro,2,1,3.0,2.0,69,88,31,23,12.0,6.0,72.0,59.0,5.0,8.0,20.0,28.0,162.0,4.0,6.0,5.0,6.0,7.0,72,76,28,21,28.0,2.0,53.0,41.0,4.0,17.0,13.0,25.0,152.0,6.0,3.0,7.0,4.0,5.0
89,Benoit Paire,Nick Kyrgios,2,1,3.0,2.0,50,68,50,47,32.0,5.0,78.0,45.0,7.0,24.0,28.0,32.0,188.0,6.0,6.0,6.0,6.0,6.0,66,86,34,27,24.0,11.0,59.0,74.0,2.0,10.0,21.0,35.0,159.0,7.0,7.0,4.0,2.0,2.0
